,Outline,Critical,ID.,Descrição dos Serviços,Empreiteiro,Dur,Início,Fim,Início,Fim,%,Início,Fim,Observações,periodo
0,4,Yes,171,ESTRUTURA DA TORRE TIPO - 29 ANDAR,Empresa 1,6 d,2021-05-08 00:00:00,2021-05-14 00:00:00,2021-06-15 00:00:00,2021-06-21 00:00:00,1,,,,2021-07-01
1,4,Yes,172,ESTRUTURA DA TORRE TIPO - 30 ANDAR,Empresa 1,6 d,2021-05-15 00:00:00,2021-05-21 00:00:00,2021-06-22 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
2,4,Yes,173,ESTRUTURA DA TORRE TIPO - 31 ANDAR,Empresa 1,6 d,2021-05-22 00:00:00,2021-05-28 00:00:00,2021-06-29 00:00:00,2021-07-05 00:00:00,1,,,,2021-07-01
3,4,Yes,215,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 29 ANDAR,Empresa 2,2 d,2021-05-13 00:00:00,2021-05-14 00:00:00,2021-06-19 00:00:00,2021-06-21 00:00:00,1,,,,2021-07-01
4,4,Yes,216,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 30 ANDAR,Empresa 2,2 d,2021-05-20 00:00:00,2021-05-21 00:00:00,2021-06-26 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
5,4,Yes,217,INSTALAÇÃO ELÉTRICA EMBUTIDA NA ESTRUTURA - 31 ANDAR,Empresa 2,2 d,2021-05-27 00:00:00,2021-05-28 00:00:00,2021-07-03 00:00:00,2021-07-05 00:00:00,1,,,,2021-07-01
6,4,No,253,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 24 ANDAR,,3 d,2021-05-08 00:00:00,2021-05-11 00:00:00,2021-06-15 00:00:00,2021-06-17 00:00:00,1,,,,2021-07-01
7,4,Yes,254,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 25 ANDAR,,3 d,2021-05-15 00:00:00,2021-05-18 00:00:00,2021-06-22 00:00:00,2021-06-24 00:00:00,1,,,,2021-07-01
8,4,Yes,255,RETIRADA DO REESCORAMENTO E LIMPEZA DA ESTRUTURA - 26 ANDAR,,3 d,2021-05-22 00:00:00,2021-05-25 00:00:00,2021-06-29 00:00:00,2021-07-01 00:00:00,1,,,,2021-07-01
9,4,Yes,425,GESSO LISO,,2 d,2021-02-22 00:00:00,2021-02-23 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
10,4,Yes,426,IMPERMEABILIZAÇÃO INTERNA,,2 d,2021-02-24 00:00:00,2021-02-25 00:00:00,2021-06-23 00:00:00,2021-06-24 00:00:00,1,,,,2021-07-01
11,4,Yes,427,IMPERMEABILIZAÇÃO TERRAÇOS,,2 d,2021-02-26 00:00:00,2021-03-01 00:00:00,2021-06-25 00:00:00,2021-06-28 00:00:00,1,,,,2021-07-01
12,4,Yes,428,EMBOÇO DO TERRAÇO,,2 d,2021-03-02 00:00:00,2021-03-03 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,,,,,2021-07-01
13,4,Yes,491,PRUMADAS HIDRO-SANITÁRIAS - 21 ANDAR,Empresa 2,3 d,2021-04-28 00:00:00,2021-04-30 00:00:00,2021-06-15 00:00:00,2021-06-17 00:00:00,1,,,,2021-07-01
14,4,Yes,492,PRUMADAS HIDRO-SANITÁRIAS - 22 ANDAR,Empresa 2,3 d,2021-05-05 00:00:00,2021-05-07 00:00:00,2021-06-18 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
15,4,Yes,493,PRUMADAS HIDRO-SANITÁRIAS - 23 ANDAR,Empresa 2,3 d,2021-05-12 00:00:00,2021-05-14 00:00:00,2021-06-23 00:00:00,2021-06-25 00:00:00,1,,,,2021-07-01
16,4,Yes,494,PRUMADAS HIDRO-SANITÁRIAS - 24 ANDAR,Empresa 2,3 d,2021-05-19 00:00:00,2021-05-21 00:00:00,2021-06-28 00:00:00,2021-06-30 00:00:00,1,,,,2021-07-01
17,4,Yes,525,CHUMBAMENTO DE PRUMADAS - 21 ANDAR,Empresa 2,2 d,2021-04-29 00:00:00,2021-04-30 00:00:00,2021-06-16 00:00:00,2021-06-17 00:00:00,1,,,,2021-07-01
18,4,Yes,526,CHUMBAMENTO DE PRUMADAS - 22 ANDAR,Empresa 2,2 d,2021-05-06 00:00:00,2021-05-07 00:00:00,2021-06-21 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
19,4,Yes,527,CHUMBAMENTO DE PRUMADAS - 23 ANDAR,Empresa 2,2 d,2021-05-13 00:00:00,2021-05-14 00:00:00,2021-06-24 00:00:00,2021-06-25 00:00:00,1,,,,2021-07-01
20,4,Yes,528,CHUMBAMENTO DE PRUMADAS - 24 ANDAR,Empresa 2,2 d,2021-05-20 00:00:00,2021-05-21 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,1,,,,2021-07-01
21,4,Yes,559,MARCAÇÃO TOTAL DA ALVENARIA - 21 ANDAR,Empresa 3,4 d,2021-05-03 00:00:00,2021-05-06 00:00:00,2021-06-10 00:00:00,2021-06-15 00:00:00,1,,,,2021-07-01
22,4,Yes,560,MARCAÇÃO TOTAL DA ALVENARIA - 22 ANDAR,Empresa 3,5 d,2021-05-10 00:00:00,2021-05-13 00:00:00,2021-06-16 00:00:00,2021-06-22 00:00:00,1,,,,2021-07-01
23,4,Yes,561,MARCAÇÃO TOTAL DA ALVENARIA - 23 ANDAR,Empresa 3,5 d,2021-05-17 00:00:00,2021-05-20 00:00:00,2021-06-23 00:00:00,2021-06-29 00:00:00,1,,,,2021-07-01
24,4,Yes,563,MARCAÇÃO TOTAL DA ALVENARIA - 24 ANDAR,Empresa 3,4 d,2021-05-31 00:00:00,2021-06-04 00:00:00,2021-07-07 00:00:00,2021-07-13 00:00:00,,2021-07-07 00:00:00,2021-07-13 00:00:00,,2021-07-01
25,4,Yes,591,ELEVAÇÃO TOTAL DA ALVENARIA - 19 ANDAR,Empresa 3,5 d,2021-04-29 00:00:00,2021-05-05 00:00:00,2021-06-28 00:00:00,2021-07-02 00:00:00,1,,,,2021-07-01
26,4,Yes,592,ELEVAÇÃO TOTAL DA ALVENARIA - 20 ANDAR,Empresa 3,5 d,2021-05-06 00:00:00,2021-05-12 00:00:00,2021-06-14 00:00:00,2021-06-18 00:00:00,1,,,,2021-07-01
27,4,Yes,593,ELEVAÇÃO TOTAL DA ALVENARIA - 21 ANDAR,Empresa 3,5 d,2021-05-13 00:00:00,2021-05-19 00:00:00,2021-06-21 00:00:00,2021-06-25 00:00:00,1,,,,2021-07-01
28,4,No,626,CHUMBAMENTO DE CAIXAS ELÉTRICAS - 20 ANDAR,Empresa 2,4 d,2021-05-13 00:00:00,2021-05-18 00:00:00,2021-06-21 00:00:00,2021-06-24 00:00:00,1,,,,2021-07-01
29,4,No,627,CHUMBAMENTO DE CAIXAS ELÉTRICAS - 21 ANDAR,Empresa 2,4 d,2021-05-20 00:00:00,2021-05-25 00:00:00,2021-06-28 00:00:00,2021-07-01 00:00:00,1,,,,2021-07-01
30,4,Yes,659,DISTRIBUIÇÃO HIDRÁULICA DE TETO - 19 ANDAR,Empresa 2,2 d,2021-05-12 00:00:00,2021-05-17 00:00:00,2021-07-05 00:00:00,2021-07-06 00:00:00,1,,,,2021-07-01
